Timestamp,Origin,Grad,Parent,Neighbor,RSSI,Link_UP(s),Drop_Count,Fwd_Count,Drop_Rate(%),Pin(%),Routing_Cost
2026-04-23 15:51:16,"=""0007""",1,"=""0002""","=""0002""",-49,76,0,9,0.0,99.9,87.62
2026-04-23 15:52:16,"=""0007""",1,"=""0002""","=""0002""",-49,136,0,11,0.0,99.9,73.55
2026-04-23 15:53:16,"=""0007""",1,"=""0002""","=""0002""",-54,196,0,22,0.0,99.8,62.03
2026-04-23 15:54:16,"=""0007""",1,"=""0002""","=""0002""",-49,256,0,27,0.0,99.6,52.6
2026-04-23 15:55:16,"=""0007""",1,"=""0002""","=""0002""",-45,316,0,28,0.0,99.4,44.88
2026-04-23 15:56:16,"=""0007""",1,"=""0002""","=""0002""",-46,376,0,22,0.0,99.3,38.56
2026-04-23 15:57:16,"=""0007""",1,"=""0002""","=""0002""",-49,436,0,24,0.0,99.1,33.38
2026-04-23 15:58:16,"=""0007""",1,"=""0002""","=""0002""",-44,496,0,31,0.0,98.9,29.14
2026-04-23 15:59:16,"=""0007""",1,"=""0002""","=""0002""",-45,556,0,24,0.0,98.7,25.67
