Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,RSSI,HopCount,Latency_ms,BeaconTx,HeartbeatTx,RouteChanges,Rx_Unique_Count,PDR_Percent
15:46:38.161,EVENT,TEST_START,Duration_ms=120000,,,,,,,,,
15:46:39.496,DATA,0x0023,0x0023,1,-51,1,90,,,,,
15:46:39.540,DATA,0x0013,0x0013,1,-59,1,205,,,,,
15:46:39.795,DATA,0x0013,0x0013,1,-61,1,67,,,,,
15:46:39.941,DATA,0x0023,0x0023,1,-54,1,168,,,,,
15:46:40.199,DATA,0x0019,0x0019,1,-61,1,290,,,,,
15:46:40.273,DATA,0x0003,0x0003,1,-55,1,65,,,,,
15:46:41.928,DATA,0x0023,0x0023,2,-52,1,65,,,,,
15:46:42.091,DATA,0x0013,0x0013,2,-55,1,181,,,,,
15:46:42.237,DATA,0x0020,0x0019,2,-60,2,305,,,,,
15:46:42.372,DATA,0x0003,0x0003,2,-50,1,63,,,,,
15:46:44.059,DATA,0x0013,0x0013,3,-55,1,66,,,,,
15:46:44.218,DATA,0x0023,0x0023,3,-52,1,178,,,,,
15:46:44.280,DATA,0x0020,0x0013,3,-55,2,210,,,,,
15:46:44.516,DATA,0x0019,0x0019,3,-61,1,404,,,,,
15:46:44.605,DATA,0x0003,0x0003,3,-55,1,113,,,,,
15:46:46.099,DATA,0x0013,0x0013,4,-61,1,66,,,,,
15:46:46.149,DATA,0x0023,0x0023,4,-53,1,67,,,,,
15:46:46.286,DATA,0x0020,0x0013,4,-61,2,237,,,,,
15:46:46.524,DATA,0x0019,0x0019,4,-60,1,385,,,,,
15:46:46.717,DATA,0x0003,0x0003,4,-55,1,63,,,,,
15:46:48.291,DATA,0x0013,0x0013,5,-55,1,112,,,,,
15:46:48.432,DATA,0x0023,0x0023,5,-52,1,172,,,,,
15:46:48.596,DATA,0x0019,0x0019,5,-59,1,380,,,,,
15:46:48.837,DATA,0x0003,0x0003,5,-50,1,67,,,,,
15:46:50.384,DATA,0x0019,0x0019,6,-61,1,63,,,,,
15:46:50.437,DATA,0x0023,0x0023,6,-53,1,61,,,,,
15:46:50.615,DATA,0x0013,0x0013,6,-61,1,262,,,,,
15:46:50.782,DATA,0x0034,0x0019,6,-59,2,194,,,,,
15:46:50.945,DATA,0x0003,0x0003,6,-50,1,60,,,,,
15:46:52.428,DATA,0x0019,0x0019,7,-60,1,85,,,,,
15:46:52.581,DATA,0x0013,0x0013,7,-60,1,171,,,,,
15:46:52.727,DATA,0x0020,0x0019,7,-67,2,182,,,,,
15:46:52.834,DATA,0x0023,0x0023,7,-52,1,327,,,,,
15:46:52.897,DATA,0x0034,0x0019,7,-61,2,190,,,,,
15:46:52.980,DATA,0x0003,0x0003,7,-50,1,61,,,,,
15:46:54.416,DATA,0x0019,0x0019,8,-61,1,73,,,,,
15:46:54.667,DATA,0x0013,0x0013,8,-60,1,67,,,,,
15:46:54.738,DATA,0x0023,0x0023,8,-52,1,62,,,,,
15:46:54.835,DATA,0x0020,0x0019,8,-67,2,196,,,,,
15:46:55.067,DATA,0x0003,0x0003,8,-50,1,69,,,,,
15:46:55.327,DATA,0x0034,0x0019,8,-61,2,456,,,,,
15:46:56.550,DATA,0x0019,0x0019,9,-59,1,66,,,,,
15:46:56.707,DATA,0x0013,0x0013,9,-58,1,64,,,,,
15:46:56.766,DATA,0x0023,0x0023,9,-53,1,59,,,,,
15:46:56.982,DATA,0x0020,0x0019,9,-67,2,197,,,,,
15:46:57.195,DATA,0x0003,0x0003,9,-55,1,60,,,,,
15:46:57.444,DATA,0x0034,0x0019,9,-67,2,444,,,,,
15:46:58.619,DATA,0x0019,0x0019,10,-59,1,71,,,,,
15:46:58.808,DATA,0x0023,0x0023,10,-53,1,60,,,,,
15:46:58.940,DATA,0x0013,0x0013,10,-57,1,170,,,,,
15:46:59.118,DATA,0x0020,0x0019,10,-59,2,181,,,,,
15:46:59.244,DATA,0x0003,0x0003,10,-55,1,71,,,,,
15:46:59.311,DATA,0x0034,0x0019,10,-60,2,195,,,,,
15:47:00.669,DATA,0x0019,0x0019,11,-60,1,62,,,,,
15:47:00.974,DATA,0x0023,0x0023,11,-53,1,66,,,,,
15:47:01.091,DATA,0x0013,0x0013,11,-55,1,173,,,,,
15:47:01.331,DATA,0x0020,0x0019,11,-61,2,325,,,,,
15:47:01.401,DATA,0x0003,0x0003,11,-55,1,59,,,,,
15:47:01.576,DATA,0x0034,0x0019,11,-67,2,410,,,,,
15:47:02.747,DATA,0x0019,0x0019,12,-60,1,66,,,,,
15:47:03.082,DATA,0x0023,0x0023,12,-52,1,65,,,,,
15:47:03.178,DATA,0x0013,0x0013,12,-58,1,63,,,,,
15:47:03.299,DATA,0x0020,0x0019,12,-67,2,183,,,,,
15:47:03.418,DATA,0x0003,0x0003,12,-50,1,63,,,,,
15:47:03.538,DATA,0x0034,0x0019,12,-59,2,184,,,,,
15:47:04.746,DATA,0x0019,0x0019,13,-66,1,63,,,,,
15:47:05.117,DATA,0x0023,0x0023,13,-54,1,59,,,,,
15:47:05.276,DATA,0x0013,0x0013,13,-60,1,64,,,,,
15:47:05.438,DATA,0x0020,0x0019,13,-65,2,206,,,,,
