Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,RSSI,HopCount,Latency_ms,BeaconTx,HeartbeatTx,RouteChanges,Rx_Unique_Count,PDR_Percent
18:33:15.537,EVENT,TEST_START,Duration_ms=120000,,,,,,,,,
18:33:15.626,HEARTBEAT,0x013d,0x013d,,-59,1,,,,,,
18:33:17.101,DATA,0x013d,0x013d,1,-75,1,26,,,,,
18:33:17.927,DATA,0x0139,0x0139,1,-61,1,44,,,,,
18:33:18.488,DATA,0x013f,0x013f,1,-50,1,76,,,,,
18:33:18.543,DATA,0x013c,0x013c,1,-58,1,205,,,,,
18:33:18.630,DATA,0x013b,0x013b,1,-56,1,398,,,,,
18:33:18.668,DATA,0x013d,0x013d,1,-59,1,483,,,,,
18:33:19.125,DATA,0x0139,0x0139,2,-61,1,71,,,,,
18:33:19.280,DATA,0x013a,0x013a,2,-60,1,228,,,,,
18:33:19.346,DATA,0x013b,0x013b,2,-57,1,369,,,,,
18:33:19.461,DATA,0x0138,0x0138,2,-56,1,72,,,,,
18:33:20.072,DATA,0x013d,0x013d,3,-59,1,70,,,,,
18:33:20.703,DATA,0x013c,0x013c,3,-58,1,32,,,,,
18:33:21.380,DATA,0x0139,0x0139,4,-61,1,77,,,,,
18:33:21.503,DATA,0x013b,0x013b,4,-56,1,424,,,,,
18:33:21.604,DATA,0x013a,0x013a,4,-59,1,330,,,,,
18:33:22.268,DATA,0x013d,0x013d,5,-59,1,64,,,,,
18:33:22.336,DATA,0x013e,0x013e,4,-51,1,598,,,,,
18:33:23.026,DATA,0x013f,0x013f,5,-48,1,107,,,,,
18:33:23.054,DATA,0x013a,0x013a,5,-69,1,599,,,,,
18:33:23.605,DATA,0x0139,0x0139,6,-59,1,67,,,,,
18:33:23.775,DATA,0x013d,0x013d,6,-76,1,465,,,,,
18:33:23.838,DATA,0x013a,0x013a,6,-68,1,332,,,,,
18:33:23.968,DATA,0x013b,0x013b,6,-56,1,638,,,,,
18:33:24.057,DATA,0x0138,0x0138,6,-55,1,337,,,,,
18:33:24.140,DATA,0x013e,0x013e,6,-66,1,75,,,,,
18:33:24.305,DATA,0x013f,0x013f,6,-50,1,217,,,,,
18:33:24.419,DATA,0x013c,0x013c,6,-58,1,416,,,,,
18:33:24.505,DATA,0x013b,0x013b,7,-56,1,110,,,,,
18:33:24.627,DATA,0x013d,0x013d,7,-59,1,332,,,,,
18:33:24.734,DATA,0x0139,0x0139,7,-61,1,75,,,,,
18:33:24.842,DATA,0x013a,0x013a,7,-69,1,181,,,,,
18:33:25.035,DATA,0x0138,0x0138,7,-62,1,211,,,,,
18:33:25.196,DATA,0x013c,0x013c,7,-65,1,137,,,,,
18:33:25.429,DATA,0x013e,0x013e,7,-53,1,336,,,,,
18:33:25.560,DATA,0x013f,0x013f,7,-50,1,486,,,,,
18:33:25.672,DATA,0x013b,0x013b,8,-56,1,103,,,,,
18:33:25.763,DATA,0x0139,0x0139,8,-61,1,70,,,,,
18:33:25.906,DATA,0x013d,0x013d,8,-75,1,467,,,,,
18:33:26.038,DATA,0x013a,0x013a,8,-58,1,186,,,,,
18:33:26.142,DATA,0x013c,0x013c,8,-58,1,31,,,,,
18:33:26.192,DATA,0x013f,0x013f,8,-50,1,109,,,,,
18:33:26.314,DATA,0x0138,0x0138,8,-62,1,445,,,,,
18:33:26.538,DATA,0x013d,0x013d,9,-59,1,73,,,,,
18:33:26.671,DATA,0x013e,0x013e,8,-66,1,444,,,,,
