Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,Latency_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
14:53:11.864,DATA,0x0006,0x0006,15,0,39,-58,,,,,,,
14:53:14.840,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:53:58.265,DATA,0x0003,0x0006,14,0,0,-65,,,,,,,
14:54:04.678,DATA,0x0009,0x0009,16,0,0,-67,,,,,,,
14:54:06.678,DATA,0x000b,0x0009,14,0,0,-62,,,,,,,
14:54:08.493,DATA,0x0008,0x0006,12,0,0,-57,,,,,,,
14:54:11.996,DATA,0x0006,0x0006,16,0,28,-57,,,,,,,
14:54:54.885,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:54:58.313,DATA,0x0003,0x0006,15,0,0,-65,,,,,,,
14:55:04.719,DATA,0x0009,0x0009,17,0,0,-69,,,,,,,
14:55:04.877,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:55:06.850,DATA,0x000b,0x0009,15,0,0,-63,,,,,,,
14:55:08.666,DATA,0x0008,0x0006,13,0,0,-58,,,,,,,
14:55:12.013,DATA,0x0006,0x0006,17,0,22,-64,,,,,,,
14:55:24.876,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:55:58.399,DATA,0x0003,0x0006,16,0,0,-58,,,,,,,
14:56:04.827,DATA,0x0009,0x0006,18,0,0,-58,,,,,,,
14:56:08.856,DATA,0x0008,0x0006,14,0,0,-58,,,,,,,
14:56:12.039,DATA,0x0006,0x0006,18,0,23,-65,,,,,,,
14:56:19.897,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:56:29.880,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:56:49.858,HEARTBEAT,0x0009,0x0009,,0,0,,,,,,,,
14:56:52.328,EVENT,TEST_STOP,Finished,,,,,,,,,,,
14:56:54.509,REPORT,0x0006,,18,,,,121,0,0,32,18,0,100.00
14:56:54.622,REPORT,0x000b,,16,,,,120,33,30,0,14,0,87.50
14:56:55.104,REPORT,0x0008,,14,,,,120,0,0,0,14,0,100.00
14:56:56.539,REPORT,0x0003,,16,,,,120,0,0,14,16,0,100.00
14:56:56.592,REPORT,0x0009,,18,,,,120,32,28,14,18,0,100.00
