Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,RTT_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
17:03:14.685,EVENT,TEST_START,Duration_ms=300000,,,,,,,,,,,
17:04:20.505,DATA,0x000d,0x000d,1,1,0,-44,,,,,,,
17:04:21.529,DATA,0x000d,0x000d,2,1,0,-44,,,,,,,
17:04:22.581,DATA,0x000d,0x000d,3,1,0,-44,,,,,,,
17:04:23.710,DATA,0x000d,0x000d,4,1,0,-48,,,,,,,
17:04:24.745,DATA,0x000d,0x000d,5,1,0,-44,,,,,,,
17:04:25.896,DATA,0x000d,0x000d,6,1,0,-44,,,,,,,
17:04:26.934,DATA,0x000d,0x000d,7,1,0,-44,,,,,,,
17:04:28.113,DATA,0x000d,0x000d,8,1,0,-48,,,,,,,
17:04:29.117,DATA,0x000d,0x000d,9,1,0,-48,,,,,,,
17:04:30.220,DATA,0x000d,0x000d,10,1,0,-44,,,,,,,
17:04:31.292,DATA,0x000d,0x000d,11,1,0,-48,,,,,,,
17:04:32.396,DATA,0x000d,0x000d,12,1,0,-48,,,,,,,
17:04:33.436,DATA,0x000d,0x000d,13,1,0,-44,,,,,,,
17:04:34.558,DATA,0x000d,0x000d,14,1,0,-48,,,,,,,
17:04:35.614,DATA,0x000d,0x000d,15,1,0,-48,,,,,,,
17:04:36.800,DATA,0x000d,0x000d,16,1,0,-48,,,,,,,
17:04:37.848,DATA,0x000d,0x000d,17,1,0,-44,,,,,,,
17:04:39.006,DATA,0x000d,0x000d,18,1,0,-44,,,,,,,
17:04:40.036,DATA,0x000d,0x000d,19,1,0,-48,,,,,,,
17:04:41.123,DATA,0x000d,0x000d,20,1,0,-48,,,,,,,
17:04:42.128,DATA,0x000d,0x000d,21,1,0,-44,,,,,,,
17:04:43.176,DATA,0x000d,0x000d,22,1,0,-48,,,,,,,
17:04:44.310,DATA,0x000d,0x000d,23,1,0,-44,,,,,,,
17:04:45.471,DATA,0x000d,0x000d,24,1,0,-44,,,,,,,
17:04:46.552,DATA,0x000d,0x000d,25,1,0,-44,,,,,,,
17:04:47.689,DATA,0x000d,0x000d,26,1,0,-48,,,,,,,
17:04:48.881,DATA,0x000d,0x000d,27,1,0,-44,,,,,,,
17:04:50.044,DATA,0x000d,0x000d,28,1,0,-48,,,,,,,
17:04:51.194,DATA,0x000d,0x000d,29,1,0,-48,,,,,,,
17:04:52.362,DATA,0x000d,0x000d,30,1,0,-48,,,,,,,
17:04:53.417,DATA,0x000d,0x000d,31,1,0,-44,,,,,,,
17:04:54.462,DATA,0x000d,0x000d,32,1,0,-43,,,,,,,
17:04:55.523,DATA,0x000d,0x000d,33,1,0,-48,,,,,,,
17:04:56.631,DATA,0x000d,0x000d,34,1,0,-44,,,,,,,
17:04:57.802,DATA,0x000d,0x000d,35,1,0,-44,,,,,,,
17:04:58.869,DATA,0x000d,0x000d,36,1,0,-44,,,,,,,
17:04:59.905,DATA,0x000d,0x000d,37,1,0,-44,,,,,,,
17:05:01.080,DATA,0x000d,0x000d,38,1,0,-44,,,,,,,
17:05:02.248,DATA,0x000d,0x000d,39,1,0,-44,,,,,,,
17:05:03.382,DATA,0x000d,0x000d,40,1,0,-48,,,,,,,
17:05:04.490,DATA,0x000d,0x000d,41,1,0,-43,,,,,,,
17:05:05.566,DATA,0x000d,0x000d,42,1,0,-43,,,,,,,
17:05:06.593,DATA,0x000d,0x000d,43,1,0,-44,,,,,,,
17:05:07.660,DATA,0x000d,0x000d,44,1,0,-44,,,,,,,
17:05:08.695,DATA,0x000d,0x000d,45,1,0,-48,,,,,,,
17:05:09.826,DATA,0x000d,0x000d,46,1,0,-44,,,,,,,
17:05:10.992,DATA,0x000d,0x000d,47,1,0,-44,,,,,,,
17:05:12.195,DATA,0x000d,0x000d,48,1,0,-44,,,,,,,
17:05:13.316,DATA,0x000d,0x000d,49,1,0,-48,,,,,,,
17:05:14.370,DATA,0x000d,0x000d,50,1,0,-44,,,,,,,
17:05:15.516,DATA,0x000d,0x000d,51,1,0,-44,,,,,,,
17:05:15.911,REPORT,0x000d,,50,,,,3,0,0,0,51,0,102.00
17:05:16.553,DATA,0x000d,0x000d,52,1,0,-44,,,,,,,
17:05:17.635,DATA,0x000d,0x000d,53,1,0,-44,,,,,,,
17:05:18.782,DATA,0x000d,0x000d,54,1,0,-48,,,,,,,
17:05:19.815,DATA,0x000d,0x000d,55,1,0,-44,,,,,,,
17:05:20.900,DATA,0x000d,0x000d,56,1,0,-44,,,,,,,
17:05:21.999,DATA,0x000d,0x000d,57,1,0,-48,,,,,,,
17:05:23.093,DATA,0x000d,0x000d,58,1,0,-48,,,,,,,
17:05:24.221,DATA,0x000d,0x000d,59,1,0,-44,,,,,,,
17:05:25.322,DATA,0x000d,0x000d,60,1,0,-48,,,,,,,
17:05:26.363,DATA,0x000d,0x000d,61,1,0,-44,,,,,,,
17:05:27.396,DATA,0x000d,0x000d,62,1,0,-48,,,,,,,
17:05:28.490,DATA,0x000d,0x000d,63,1,0,-48,,,,,,,
17:05:29.621,DATA,0x000d,0x000d,64,1,0,-44,,,,,,,
17:05:30.809,DATA,0x000d,0x000d,65,1,0,-48,,,,,,,
17:05:32.015,DATA,0x000d,0x000d,66,1,0,-44,,,,,,,
17:05:33.147,DATA,0x000d,0x000d,67,1,0,-44,,,,,,,
17:05:34.171,DATA,0x000d,0x000d,68,1,0,-48,,,,,,,
17:05:35.357,DATA,0x000d,0x000d,69,1,0,-48,,,,,,,
17:05:36.426,DATA,0x000d,0x000d,70,1,0,-44,,,,,,,
17:05:37.477,DATA,0x000d,0x000d,71,1,0,-45,,,,,,,
17:05:38.553,DATA,0x000d,0x000d,72,1,0,-48,,,,,,,
17:05:39.729,DATA,0x000d,0x000d,73,1,0,-48,,,,,,,
17:05:40.954,DATA,0x000d,0x000d,74,1,0,-44,,,,,,,
17:05:41.957,DATA,0x000d,0x000d,75,1,0,-45,,,,,,,
17:05:43.005,DATA,0x000d,0x000d,76,1,0,-44,,,,,,,
17:05:44.198,DATA,0x000d,0x000d,77,1,0,-44,,,,,,,
17:05:45.265,DATA,0x000d,0x000d,78,1,0,-44,,,,,,,
17:05:46.367,DATA,0x000d,0x000d,79,1,0,-44,,,,,,,
17:05:47.458,DATA,0x000d,0x000d,80,1,0,-48,,,,,,,
17:05:48.569,DATA,0x000d,0x000d,81,1,0,-48,,,,,,,
17:05:49.738,DATA,0x000d,0x000d,82,1,0,-44,,,,,,,
17:05:50.913,DATA,0x000d,0x000d,83,1,0,-48,,,,,,,
17:05:52.028,DATA,0x000d,0x000d,84,1,0,-44,,,,,,,
17:05:53.174,DATA,0x000d,0x000d,85,1,0,-44,,,,,,,
17:05:54.311,DATA,0x000d,0x000d,86,1,0,-48,,,,,,,
17:05:55.507,DATA,0x000d,0x000d,87,1,0,-48,,,,,,,
17:05:56.564,DATA,0x000d,0x000d,88,1,0,-48,,,,,,,
17:05:57.624,DATA,0x000d,0x000d,89,1,0,-44,,,,,,,
17:05:58.768,DATA,0x000d,0x000d,90,1,0,-44,,,,,,,
17:05:59.836,DATA,0x000d,0x000d,91,1,0,-44,,,,,,,
17:06:00.845,DATA,0x000d,0x000d,92,1,0,-44,,,,,,,
