Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,RSSI,HopCount,Latency_ms,BeaconTx,HeartbeatTx,RouteChanges,Rx_Unique_Count,PDR_Percent
18:42:34.113,HEARTBEAT,0x011b,0x011b,,-56,1,,,,,,
18:42:37.631,EVENT,TEST_START,Duration_ms=60000,,,,,,,,,
18:42:38.820,DATA,0x011b,0x011b,1,-58,1,82,,,,,
18:42:39.041,DATA,0x0118,0x0118,1,-41,1,90,,,,,
18:42:39.094,HEARTBEAT,0x011a,0x011a,,-62,1,,,,,,
18:42:39.824,DATA,0x011b,0x011b,2,-69,1,85,,,,,
18:42:40.040,DATA,0x0118,0x0118,2,-41,1,83,,,,,
18:42:40.143,DATA,0x011a,0x011a,2,-60,1,83,,,,,
18:42:41.027,DATA,0x0118,0x0118,3,-41,1,81,,,,,
18:42:41.141,DATA,0x011a,0x011a,3,-58,1,81,,,,,
18:42:41.993,DATA,0x011b,0x011a,4,-59,2,236,,,,,
18:42:42.029,DATA,0x0118,0x0118,4,-41,1,81,,,,,
18:42:42.136,DATA,0x011a,0x011a,4,-58,1,81,,,,,
18:42:42.958,DATA,0x011b,0x011a,5,-60,2,221,,,,,
18:42:43.037,DATA,0x0118,0x0118,5,-41,1,86,,,,,
18:42:43.142,DATA,0x011a,0x011a,5,-60,1,87,,,,,
18:42:44.049,DATA,0x0118,0x0118,6,-42,1,84,,,,,
18:42:44.123,HEARTBEAT,0x011b,0x011b,,-56,1,,,,,,
18:42:44.295,DATA,0x011a,0x011a,6,-57,1,228,,,,,
18:42:44.827,DATA,0x011b,0x011b,7,-56,1,83,,,,,
18:42:45.040,DATA,0x0118,0x0118,7,-48,1,86,,,,,
18:42:45.140,DATA,0x011a,0x011a,7,-65,1,85,,,,,
18:42:45.821,DATA,0x011b,0x011b,8,-56,1,86,,,,,
18:42:46.045,DATA,0x0118,0x0118,8,-48,1,86,,,,,
18:42:46.142,DATA,0x011a,0x011a,8,-65,1,87,,,,,
18:42:46.822,DATA,0x011b,0x011b,9,-56,1,85,,,,,
18:42:47.037,DATA,0x0118,0x0118,9,-48,1,82,,,,,
18:42:47.138,DATA,0x011a,0x011a,9,-59,1,85,,,,,
18:42:47.851,DATA,0x011b,0x011b,10,-68,1,93,,,,,
18:42:48.048,DATA,0x0118,0x0118,10,-41,1,86,,,,,
18:42:48.146,DATA,0x011a,0x011a,10,-59,1,82,,,,,
18:42:48.858,DATA,0x011b,0x011b,11,-56,1,123,,,,,
18:42:49.036,DATA,0x0118,0x0118,11,-48,1,83,,,,,
18:42:49.110,HEARTBEAT,0x011a,0x011a,,-64,1,,,,,,
18:42:49.834,DATA,0x011b,0x011b,12,-68,1,85,,,,,
18:42:50.056,DATA,0x0118,0x0118,12,-41,1,88,,,,,
18:42:50.183,DATA,0x011a,0x011a,12,-64,1,116,,,,,
18:42:50.834,DATA,0x011b,0x011b,13,-56,1,86,,,,,
18:42:51.052,DATA,0x0118,0x0118,13,-42,1,98,,,,,
18:42:51.151,DATA,0x011a,0x011a,13,-58,1,87,,,,,
