Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,Latency_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,PDR_Percent
11:37:37.700,EVENT,TEST_START,Duration_ms=120000,,,,,,,,,,
11:37:38.132,DATA,0x01c9,0x01ca,1,2,256,-65,,,,,,
11:37:38.219,DATA,0x01cc,0x01cc,1,1,124,-67,,,,,,
11:37:38.301,DATA,0x01ce,0x01c7,1,2,341,-69,,,,,,
11:37:38.516,DATA,0x01d2,0x01d2,1,1,131,-66,,,,,,
11:37:38.534,DATA,0x01ca,0x01ca,1,1,129,-61,,,,,,
11:37:38.561,DATA,0x01d0,0x01d0,1,1,131,-56,,,,,,
11:37:38.779,DATA,0x01d4,0x01ca,1,3,443,-62,,,,,,
11:37:38.889,DATA,0x01d1,0x01c7,1,2,257,-58,,,,,,
11:37:39.202,DATA,0x01c9,0x01ca,2,2,260,-65,,,,,,
11:37:39.236,DATA,0x01ce,0x01c7,2,2,256,-59,,,,,,
11:37:39.259,DATA,0x01cc,0x01cc,2,1,125,-61,,,,,,
11:37:39.539,DATA,0x01d2,0x01d2,2,1,128,-66,,,,,,
11:37:39.558,DATA,0x01ca,0x01ca,2,1,121,-60,,,,,,
11:37:39.678,DATA,0x01d0,0x01d0,2,1,127,-69,,,,,,
11:37:40.048,DATA,0x01d1,0x01c7,2,2,252,-58,,,,,,
11:37:40.142,DATA,0x01c8,0x01ca,2,2,644,-62,,,,,,
11:37:40.369,DATA,0x01cc,0x01cc,3,1,128,-66,,,,,,
11:37:40.455,DATA,0x01ce,0x01c7,3,2,296,-56,,,,,,
11:37:40.556,DATA,0x01d2,0x01d2,3,1,126,-57,,,,,,
11:37:40.683,DATA,0x01ca,0x01ca,3,1,237,-74,,,,,,
11:37:40.880,DATA,0x01d0,0x01d0,3,1,129,-58,,,,,,
11:37:41.024,DATA,0x01cb,0x01ca,3,2,312,-74,,,,,,
11:37:41.190,DATA,0x01d1,0x01c7,3,2,259,-58,,,,,,
11:37:41.280,DATA,0x01d8,0x01ca,3,3,460,-64,,,,,,
11:37:41.486,DATA,0x01cc,0x01cc,4,1,149,-62,,,,,,
11:37:41.533,DATA,0x01c9,0x01ca,4,2,345,-60,,,,,,
11:37:41.544,DATA,0x01ce,0x01c7,4,2,258,-55,,,,,,
11:37:41.609,DATA,0x01d2,0x01d2,4,1,127,-64,,,,,,
11:37:41.764,DATA,0x01ca,0x01ca,4,1,122,-60,,,,,,
11:37:41.945,DATA,0x01d0,0x01d0,4,1,127,-58,,,,,,
11:37:42.173,DATA,0x01d4,0x01ca,4,3,576,-61,,,,,,
11:37:42.251,DATA,0x01d1,0x01d0,4,2,267,-70,,,,,,
11:37:42.548,DATA,0x01ce,0x01c7,5,2,262,-59,,,,,,
11:37:42.557,DATA,0x01cc,0x01cc,5,1,126,-66,,,,,,
11:37:42.616,DATA,0x01c9,0x01ca,5,2,326,-60,,,,,,
