Timestamp,Type,SourceAddr,SenderAddr,Value_Seq_or_Tx,RSSI,HopCount,Rx_Count_Measured,PDR_Percent
17:11:24.849,EVENT,TEST_START,Duration_ms=60000,,,,,
17:11:25.956,DATA,0x0004,0x0004,1,-67,1,,
17:11:25.982,DATA,0x0003,0x0003,1,-46,1,,
17:11:26.002,DATA,0x0005,0x0005,1,-54,1,,
17:11:26.894,DATA,0x0005,0x0005,2,-53,1,,
17:11:26.912,DATA,0x0003,0x0003,2,-47,1,,
17:11:26.929,DATA,0x0004,0x0004,2,-56,1,,
17:11:27.878,DATA,0x0005,0x0005,3,-54,1,,
17:11:27.918,DATA,0x0003,0x0003,3,-47,1,,
17:11:27.931,DATA,0x0004,0x0004,3,-57,1,,
17:11:28.876,DATA,0x0005,0x0005,4,-59,1,,
17:11:28.917,DATA,0x0004,0x0004,4,-55,1,,
17:11:28.929,DATA,0x0003,0x0003,4,-56,1,,
17:11:29.877,DATA,0x0004,0x0004,5,-54,1,,
17:11:29.917,DATA,0x0005,0x0005,5,-59,1,,
17:11:29.931,DATA,0x0003,0x0003,5,-55,1,,
17:11:30.875,DATA,0x0003,0x0003,6,-56,1,,
17:11:30.919,DATA,0x0005,0x0005,6,-53,1,,
17:11:30.934,DATA,0x0004,0x0004,6,-55,1,,
17:11:31.885,DATA,0x0005,0x0005,7,-53,1,,
17:11:31.919,DATA,0x0004,0x0004,7,-61,1,,
17:11:31.936,DATA,0x0003,0x0003,7,-47,1,,
17:11:32.884,DATA,0x0005,0x0005,8,-53,1,,
17:11:32.918,DATA,0x0003,0x0003,8,-47,1,,
17:11:32.934,DATA,0x0004,0x0004,8,-56,1,,
17:11:33.893,DATA,0x0003,0x0003,9,-47,1,,
17:11:33.908,DATA,0x0004,0x0004,9,-56,1,,
17:11:33.928,DATA,0x0005,0x0005,9,-53,1,,
17:11:34.891,DATA,0x0003,0x0003,10,-47,1,,
17:11:34.920,DATA,0x0005,0x0005,10,-54,1,,
17:11:34.935,DATA,0x0004,0x0004,10,-58,1,,
17:11:35.862,DATA,0x0003,0x0003,11,-47,1,,
17:11:35.907,DATA,0x0005,0x0005,11,-56,1,,
17:11:35.926,DATA,0x0004,0x0004,11,-57,1,,
17:11:36.883,DATA,0x0005,0x0005,12,-56,1,,
17:11:36.921,DATA,0x0003,0x0003,12,-55,1,,
17:11:36.935,DATA,0x0004,0x0004,12,-55,1,,
17:11:37.882,DATA,0x0004,0x0004,13,-54,1,,
17:11:37.917,DATA,0x0005,0x0005,13,-56,1,,
17:11:37.931,DATA,0x0003,0x0003,13,-55,1,,
17:11:38.896,DATA,0x0005,0x0005,14,-56,1,,
17:11:38.912,DATA,0x0004,0x0004,14,-55,1,,
17:11:38.930,DATA,0x0003,0x0003,14,-47,1,,
17:11:39.884,DATA,0x0003,0x0003,15,-47,1,,
17:11:39.920,DATA,0x0005,0x0005,15,-52,1,,
17:11:39.935,DATA,0x0004,0x0004,15,-64,1,,
17:11:40.904,DATA,0x0005,0x0005,16,-53,1,,
17:11:40.918,DATA,0x0004,0x0004,16,-66,1,,
17:11:40.942,DATA,0x0003,0x0003,16,-47,1,,
17:11:41.884,DATA,0x0005,0x0005,17,-53,1,,
17:11:41.923,DATA,0x0003,0x0003,17,-47,1,,
17:11:41.936,DATA,0x0004,0x0004,17,-58,1,,
17:11:42.887,DATA,0x0004,0x0004,18,-56,1,,
17:11:42.923,DATA,0x0003,0x0003,18,-47,1,,
17:11:42.936,DATA,0x0005,0x0005,18,-53,1,,
17:11:43.895,DATA,0x0003,0x0003,19,-47,1,,
17:11:43.909,DATA,0x0004,0x0004,19,-56,1,,
17:11:43.927,DATA,0x0005,0x0005,19,-53,1,,
17:11:44.884,DATA,0x0004,0x0004,20,-58,1,,
17:11:44.922,DATA,0x0005,0x0005,20,-53,1,,
17:11:44.935,DATA,0x0003,0x0003,20,-47,1,,
17:11:45.873,DATA,0x0004,0x0004,21,-56,1,,
17:11:45.912,DATA,0x0005,0x0005,21,-53,1,,
17:11:46.102,DATA,0x0003,0x0003,21,-47,1,,
17:11:46.889,DATA,0x0003,0x0003,22,-54,1,,
17:11:46.924,DATA,0x0004,0x0004,22,-56,1,,
17:11:46.941,DATA,0x0005,0x0005,22,-58,1,,
17:11:47.889,DATA,0x0003,0x0003,23,-54,1,,
17:11:47.924,DATA,0x0004,0x0004,23,-64,1,,
17:11:47.945,DATA,0x0005,0x0005,23,-52,1,,
17:11:48.887,DATA,0x0003,0x0003,24,-47,1,,
17:11:48.898,DATA,0x0005,0x0005,24,-52,1,,
17:11:48.934,DATA,0x0004,0x0004,24,-65,1,,
17:11:49.865,DATA,0x0005,0x0005,25,-52,1,,
17:11:49.912,DATA,0x0003,0x0003,25,-47,1,,
17:11:49.924,DATA,0x0004,0x0004,25,-59,1,,
