Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,RSSI,HopCount,Latency_ms,BeaconTx,HeartbeatTx,RouteChanges,Rx_Unique_Count,PDR_Percent
17:17:16.035,DATA,0x0187,0x0187,1,-53,1,0,,,,,
17:17:17.508,DATA,0x0182,0x0182,1,-63,1,0,,,,,
17:17:18.522,DATA,0x0185,0x0185,1,-76,1,1,,,,,
17:17:22.334,DATA,0x0183,0x0183,1,-65,1,0,,,,,
17:17:22.345,DATA,0x017b,0x017b,1,-49,1,113,,,,,
17:17:22.426,DATA,0x017e,0x017e,1,-57,1,1395,,,,,
17:17:22.916,DATA,0x0184,0x0184,1,-54,1,2107,,,,,
17:17:24.238,DATA,0x0185,0x0185,1,-63,1,3422,,,,,
17:17:24.329,DATA,0x0188,0x0188,1,-57,1,3400,,,,,
17:17:24.385,DATA,0x0187,0x0187,1,-62,1,3574,,,,,
17:17:24.419,DATA,0x017c,0x0182,1,-66,2,3581,,,,,
17:17:24.440,HEARTBEAT,0x0186,0x0186,,-63,1,,,,,,
17:17:24.524,DATA,0x017b,0x017b,1,-49,1,2889,,,,,
17:17:24.653,DATA,0x0184,0x0184,3,-54,1,1576,,,,,
17:17:24.804,DATA,0x0186,0x0186,4,-62,1,140,,,,,
17:17:24.819,DATA,0x0180,0x0183,1,-63,2,3970,,,,,
17:17:24.858,DATA,0x0185,0x0185,4,-76,1,91,,,,,
17:17:24.865,DATA,0x017e,0x017e,3,-56,1,1652,,,,,
17:17:24.890,DATA,0x017b,0x017b,4,-49,1,103,,,,,
17:17:25.081,DATA,0x0188,0x0188,4,-64,1,76,,,,,
17:17:25.136,DATA,0x0187,0x0187,4,-60,1,95,,,,,
17:17:25.220,DATA,0x017c,0x0182,4,-69,2,225,,,,,
17:17:25.382,DATA,0x0184,0x0184,5,-55,1,91,,,,,
17:17:25.551,DATA,0x017d,0x0183,5,-68,2,332,,,,,
17:17:25.638,DATA,0x017e,0x017e,5,-48,1,97,,,,,
17:17:25.879,DATA,0x0185,0x0185,5,-61,1,94,,,,,
17:17:25.906,DATA,0x017b,0x017b,5,-49,1,94,,,,,
17:17:26.039,DATA,0x0181,0x0188,5,-66,2,225,,,,,
17:17:26.056,DATA,0x0177,0x0182,5,-67,2,533,,,,,
17:17:26.098,HEARTBEAT,0x0186,0x0186,,-80,1,,,,,,
17:17:26.157,DATA,0x0183,0x0183,5,-64,1,92,,,,,
17:17:26.196,DATA,0x0187,0x0187,5,-62,1,90,,,,,
17:17:26.489,DATA,0x0184,0x0184,6,-56,1,88,,,,,
17:17:26.731,DATA,0x017e,0x017e,6,-51,1,92,,,,,
17:17:26.777,DATA,0x0179,0x0183,6,-64,2,308,,,,,
17:17:26.853,DATA,0x0177,0x0182,6,-67,2,271,,,,,
17:17:26.928,DATA,0x0185,0x0185,6,-61,1,88,,,,,
17:17:26.975,DATA,0x0178,0x0186,6,-64,2,228,,,,,
17:17:27.040,DATA,0x017b,0x017b,6,-49,1,122,,,,,
17:17:27.167,DATA,0x0181,0x0188,6,-67,2,199,,,,,
17:17:27.252,DATA,0x0183,0x0183,6,-65,1,91,,,,,
17:17:27.355,DATA,0x0187,0x0187,6,-62,1,90,,,,,
17:17:27.548,DATA,0x017c,0x0182,6,-67,2,275,,,,,
17:17:27.582,DATA,0x017d,0x0183,7,-67,2,211,,,,,
17:17:27.604,DATA,0x0184,0x0184,7,-56,1,89,,,,,
17:17:27.811,DATA,0x017e,0x017e,7,-56,1,91,,,,,
17:17:27.899,DATA,0x0179,0x0183,7,-67,2,279,,,,,
17:17:28.015,DATA,0x0185,0x0185,7,-61,1,88,,,,,
17:17:28.047,DATA,0x018a,0x0182,7,-70,2,252,,,,,
17:17:28.106,DATA,0x0178,0x0186,7,-83,2,278,,,,,
17:17:28.209,DATA,0x017b,0x017b,7,-50,1,100,,,,,
17:17:28.225,DATA,0x0188,0x0188,7,-65,1,74,,,,,
17:17:28.374,DATA,0x0183,0x0183,7,-67,1,124,,,,,
17:17:28.475,DATA,0x017a,0x0186,7,-62,2,333,,,,,
17:17:28.504,DATA,0x0187,0x0187,7,-54,1,90,,,,,
17:17:28.726,DATA,0x017d,0x0183,8,-67,2,194,,,,,
17:17:28.737,DATA,0x017c,0x0182,7,-67,2,278,,,,,
17:17:28.764,DATA,0x0184,0x0184,8,-55,1,92,,,,,
17:17:28.909,DATA,0x017e,0x017e,8,-51,1,94,,,,,
17:17:28.954,DATA,0x0179,0x0183,8,-62,2,228,,,,,
17:17:29.098,DATA,0x018a,0x0182,8,-67,2,294,,,,,
17:17:29.150,DATA,0x0185,0x0185,8,-70,1,88,,,,,
17:17:29.210,DATA,0x0178,0x0186,8,-63,2,241,,,,,
17:17:29.345,DATA,0x0188,0x0188,8,-67,1,78,,,,,
17:17:29.387,DATA,0x0183,0x0183,8,-63,1,91,,,,,
17:17:29.420,DATA,0x017b,0x017b,8,-51,1,148,,,,,
17:17:29.525,DATA,0x017f,0x0186,8,-63,2,271,,,,,
17:17:29.610,DATA,0x0187,0x0187,8,-58,1,93,,,,,
17:17:29.638,DATA,0x0181,0x0188,8,-57,2,312,,,,,
17:17:29.843,DATA,0x017c,0x0182,8,-71,2,259,,,,,
17:17:29.862,DATA,0x017d,0x0183,9,-62,2,242,,,,,
17:17:29.949,DATA,0x0184,0x0184,9,-54,1,89,,,,,
17:17:30.040,DATA,0x017e,0x017e,9,-57,1,93,,,,,
17:17:30.238,DATA,0x0177,0x0182,9,-71,2,263,,,,,
17:17:30.262,DATA,0x0178,0x0186,9,-94,2,223,,,,,
17:17:30.317,DATA,0x0185,0x0185,9,-63,1,90,,,,,
17:17:30.436,DATA,0x017b,0x017b,9,-52,1,100,,,,,
17:17:30.516,DATA,0x0183,0x0183,9,-62,1,90,,,,,
17:17:30.597,DATA,0x0188,0x0188,9,-63,1,166,,,,,
17:17:30.654,DATA,0x017a,0x0186,9,-83,2,286,,,,,
17:17:30.780,DATA,0x0187,0x0187,9,-53,1,97,,,,,
17:17:30.820,DATA,0x017d,0x0183,10,-66,2,199,,,,,
17:17:30.890,DATA,0x017c,0x0182,9,-64,2,263,,,,,
17:17:31.020,DATA,0x0184,0x0184,10,-57,1,97,,,,,
17:17:31.101,DATA,0x0179,0x0183,10,-63,2,295,,,,,
17:17:31.134,DATA,0x017e,0x017e,10,-48,1,103,,,,,
17:17:31.257,DATA,0x0177,0x0182,10,-64,2,260,,,,,
17:17:31.307,DATA,0x0178,0x0186,10,-62,2,220,,,,,
17:17:31.373,DATA,0x0185,0x0185,10,-70,1,86,,,,,
17:17:31.431,DATA,0x0186,0x0186,10,-63,1,81,,,,,
17:17:31.510,DATA,0x017b,0x017b,10,-49,1,95,,,,,
17:17:31.572,DATA,0x0188,0x0188,10,-64,1,69,,,,,
17:17:31.629,DATA,0x017f,0x0186,10,-90,2,215,,,,,
