Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,RSSI,HopCount,Latency_ms,BeaconTx,HeartbeatTx,RouteChanges,Rx_Unique_Count,PDR_Percent
10:27:02.922,HEARTBEAT,0x0122,0x0122,,-64,1,,,,,,
10:27:04.716,EVENT,TEST_START,Duration_ms=60000,,,,,,,,,
10:27:06.140,DATA,0x0124,0x0124,1,-58,1,24,,,,,
10:27:07.166,DATA,0x0124,0x0124,1,-57,1,0,,,,,
10:27:07.540,DATA,0x0123,0x0123,1,-54,1,146,,,,,
10:27:07.549,DATA,0x0124,0x0124,1,-64,1,68,,,,,
10:27:07.649,DATA,0x0125,0x0125,1,-57,1,96,,,,,
10:27:07.665,DATA,0x0123,0x0123,1,-63,1,180,,,,,
10:27:07.687,DATA,0x0126,0x0126,1,-60,1,4,,,,,
10:27:07.905,DATA,0x0122,0x0124,1,-55,2,537,,,,,
10:27:09.403,DATA,0x0124,0x0124,2,-64,1,74,,,,,
10:27:09.579,DATA,0x0125,0x0125,2,-57,1,234,,,,,
10:27:09.665,DATA,0x0126,0x0126,2,-60,1,0,,,,,
10:27:09.790,DATA,0x0122,0x0124,2,-57,2,355,,,,,
10:27:10.015,DATA,0x0123,0x0123,2,-53,1,512,,,,,
10:27:11.485,DATA,0x0124,0x0124,3,-57,1,68,,,,,
10:27:11.595,DATA,0x0125,0x0125,3,-56,1,180,,,,,
10:27:11.752,DATA,0x0123,0x0123,3,-53,1,101,,,,,
10:27:11.866,DATA,0x0122,0x0124,3,-57,2,369,,,,,
10:27:11.977,DATA,0x0126,0x0126,3,-65,1,244,,,,,
10:27:13.540,DATA,0x0124,0x0124,4,-55,1,78,,,,,
10:27:13.734,DATA,0x0125,0x0125,4,-57,1,227,,,,,
10:27:13.830,DATA,0x0123,0x0123,4,-53,1,175,,,,,
10:27:13.994,DATA,0x0126,0x0126,4,-60,1,84,,,,,
10:27:14.164,DATA,0x0122,0x0124,4,-55,2,662,,,,,
10:27:15.592,DATA,0x0124,0x0124,5,-63,1,73,,,,,
10:27:15.757,DATA,0x0123,0x0123,5,-53,1,72,,,,,
10:27:15.880,DATA,0x0125,0x0125,5,-57,1,204,,,,,
10:27:16.079,DATA,0x0122,0x0124,5,-55,2,533,,,,,
10:27:16.338,DATA,0x0126,0x0126,5,-60,1,265,,,,,
10:27:17.654,DATA,0x0124,0x0124,6,-63,1,74,,,,,
10:27:17.835,DATA,0x0125,0x0125,6,-62,1,69,,,,,
10:27:17.952,DATA,0x0122,0x0124,6,-55,2,405,,,,,
10:27:18.150,DATA,0x0126,0x0126,6,-57,1,0,,,,,
10:27:18.295,DATA,0x0123,0x0123,6,-63,1,448,,,,,
10:27:19.726,DATA,0x0124,0x0124,7,-63,1,69,,,,,
10:27:19.967,DATA,0x0125,0x0125,7,-56,1,75,,,,,
10:27:20.033,DATA,0x0123,0x0123,7,-53,1,157,,,,,
10:27:20.341,DATA,0x0126,0x0126,7,-65,1,0,,,,,
10:27:21.945,DATA,0x0124,0x0124,8,-55,1,96,,,,,
10:27:22.065,DATA,0x0125,0x0125,8,-57,1,66,,,,,
10:27:22.193,DATA,0x0122,0x0126,8,-57,2,361,,,,,
10:27:22.426,DATA,0x0126,0x0126,8,-57,1,49,,,,,
10:27:22.636,DATA,0x0123,0x0123,8,-63,1,600,,,,,
10:27:24.098,DATA,0x0124,0x0124,9,-54,1,70,,,,,
10:27:24.238,DATA,0x0122,0x0126,9,-65,2,377,,,,,
10:27:24.365,DATA,0x0123,0x0123,9,-53,1,176,,,,,
10:27:24.428,DATA,0x0126,0x0126,9,-65,1,0,,,,,
10:27:24.561,DATA,0x0125,0x0125,9,-56,1,442,,,,,
10:27:26.280,DATA,0x0125,0x0125,10,-57,1,66,,,,,
10:27:26.421,DATA,0x0122,0x0124,10,-57,2,384,,,,,
10:27:26.592,DATA,0x0123,0x0123,10,-63,1,328,,,,,
10:27:26.685,DATA,0x0126,0x0126,10,-65,1,87,,,,,
10:27:28.372,DATA,0x0124,0x0124,11,-54,1,160,,,,,
10:27:28.476,DATA,0x0123,0x0123,11,-53,1,70,,,,,
10:27:28.557,DATA,0x0125,0x0125,11,-57,1,330,,,,,
10:27:28.721,DATA,0x0126,0x0126,11,-64,1,0,,,,,
10:27:30.348,DATA,0x0125,0x0125,12,-58,1,70,,,,,
10:27:30.477,DATA,0x0122,0x0124,12,-57,2,309,,,,,
10:27:30.636,DATA,0x0123,0x0123,12,-53,1,75,,,,,
10:27:30.754,DATA,0x0126,0x0126,12,-69,1,0,,,,,
10:27:32.400,DATA,0x0125,0x0125,13,-57,1,73,,,,,
10:27:32.539,DATA,0x0124,0x0124,13,-56,1,205,,,,,
10:27:32.809,DATA,0x0123,0x0123,13,-62,1,69,,,,,
10:27:32.824,DATA,0x0126,0x0126,13,-61,1,0,,,,,
10:27:34.546,DATA,0x0125,0x0125,14,-57,1,90,,,,,
10:27:34.562,DATA,0x0124,0x0124,14,-65,1,72,,,,,
10:27:34.718,DATA,0x0122,0x0124,14,-65,2,272,,,,,
10:27:34.877,DATA,0x0123,0x0123,14,-53,1,75,,,,,
10:27:35.057,DATA,0x0126,0x0126,14,-59,1,143,,,,,
10:27:36.525,DATA,0x0125,0x0125,15,-63,1,71,,,,,
10:27:36.587,DATA,0x0124,0x0124,15,-55,1,70,,,,,
10:27:36.792,DATA,0x0122,0x0124,15,-61,2,266,,,,,
10:27:36.929,DATA,0x0123,0x0123,15,-53,1,93,,,,,
10:27:37.055,DATA,0x0126,0x0126,15,-65,1,0,,,,,
10:27:38.632,DATA,0x0124,0x0124,16,-55,1,69,,,,,
10:27:38.683,DATA,0x0125,0x0125,16,-62,1,78,,,,,
10:27:38.947,DATA,0x0122,0x0124,16,-57,2,257,,,,,
10:27:39.101,DATA,0x0123,0x0123,16,-53,1,185,,,,,
10:27:39.228,DATA,0x0126,0x0126,16,-59,1,0,,,,,
10:27:40.714,DATA,0x0124,0x0124,17,-57,1,69,,,,,
10:27:40.849,DATA,0x0125,0x0125,17,-61,1,173,,,,,
10:27:41.024,DATA,0x0122,0x0124,17,-60,2,296,,,,,
10:27:41.173,DATA,0x0123,0x0123,17,-53,1,82,,,,,
10:27:41.356,DATA,0x0126,0x0126,17,-66,1,0,,,,,
10:27:42.804,DATA,0x0124,0x0124,18,-57,1,80,,,,,
10:27:42.959,DATA,0x0125,0x0125,18,-58,1,175,,,,,
10:27:43.207,DATA,0x0122,0x0124,18,-55,2,292,,,,,
10:27:43.334,DATA,0x0123,0x0123,18,-53,1,70,,,,,
10:27:43.425,DATA,0x0126,0x0126,18,-62,1,0,,,,,
10:27:44.934,DATA,0x0125,0x0125,19,-56,1,69,,,,,
10:27:45.302,DATA,0x0124,0x0124,19,-55,1,393,,,,,
10:27:45.488,DATA,0x0123,0x0123,19,-62,1,71,,,,,
10:27:45.603,DATA,0x0126,0x0126,19,-60,1,90,,,,,
10:27:47.025,DATA,0x0125,0x0125,20,-61,1,74,,,,,
10:27:47.093,DATA,0x0124,0x0124,20,-57,1,72,,,,,
10:27:47.384,DATA,0x0122,0x0124,20,-57,2,253,,,,,
10:27:47.602,DATA,0x0123,0x0123,20,-53,1,68,,,,,
10:27:47.660,DATA,0x0126,0x0126,20,-59,1,0,,,,,
10:27:49.232,DATA,0x0125,0x0125,21,-62,1,160,,,,,
10:27:49.292,DATA,0x0124,0x0124,21,-60,1,75,,,,,
10:27:49.500,DATA,0x0122,0x0124,21,-56,2,277,,,,,
10:27:49.674,DATA,0x0123,0x0123,21,-53,1,71,,,,,
10:27:49.759,DATA,0x0126,0x0126,21,-62,1,0,,,,,
10:27:51.187,DATA,0x0125,0x0125,22,-57,1,67,,,,,
10:27:51.527,DATA,0x0124,0x0124,22,-55,1,136,,,,,
10:27:51.824,DATA,0x0126,0x0126,22,-59,1,2,,,,,
10:27:52.092,DATA,0x0123,0x0123,22,-53,1,367,,,,,
10:27:53.292,DATA,0x0125,0x0125,23,-61,1,72,,,,,
10:27:53.697,DATA,0x0122,0x0124,23,-57,2,266,,,,,
10:27:53.876,DATA,0x0126,0x0126,23,-62,1,0,,,,,
10:27:54.038,DATA,0x0123,0x0123,23,-54,1,195,,,,,
10:27:55.305,DATA,0x0125,0x0125,24,-57,1,79,,,,,
10:27:55.719,DATA,0x0122,0x0124,24,-60,2,267,,,,,
10:27:55.940,DATA,0x0126,0x0126,24,-59,1,0,,,,,
10:27:56.007,DATA,0x0123,0x0123,24,-62,1,74,,,,,
10:27:57.444,DATA,0x0125,0x0125,25,-57,1,70,,,,,
10:27:57.790,DATA,0x0122,0x0124,25,-60,2,262,,,,,
10:27:58.037,DATA,0x0123,0x0123,25,-53,1,70,,,,,
10:27:58.088,DATA,0x0126,0x0126,25,-61,1,0,,,,,
10:27:59.590,DATA,0x0125,0x0125,26,-61,1,68,,,,,
10:27:59.959,DATA,0x0122,0x0124,26,-55,2,265,,,,,
10:28:00.144,DATA,0x0126,0x0126,26,-62,1,0,,,,,
10:28:00.268,DATA,0x0123,0x0123,26,-53,1,180,,,,,
10:28:01.671,DATA,0x0125,0x0125,27,-57,1,74,,,,,
10:28:01.990,DATA,0x0122,0x0124,27,-57,2,258,,,,,
10:28:02.215,DATA,0x0123,0x0123,27,-62,1,75,,,,,
10:28:02.332,DATA,0x0126,0x0126,27,-62,1,107,,,,,
10:28:03.847,DATA,0x0125,0x0125,28,-58,1,79,,,,,
10:28:04.145,DATA,0x0122,0x0124,28,-55,2,288,,,,,
10:28:04.289,DATA,0x0124,0x0124,28,-60,1,73,,,,,
10:28:04.405,DATA,0x0123,0x0123,28,-53,1,175,,,,,
10:28:04.612,DATA,0x0126,0x0126,28,-66,1,273,,,,,
10:28:04.777,EVENT,TEST_STOP,Finished,,,,,,,,,
10:28:06.488,REPORT,0x0124,,42,,,,6,0,0,21,50.00
10:28:06.914,REPORT,0x0123,,29,,,,6,0,0,28,96.55
10:28:08.096,REPORT,0x0125,,28,,,,6,0,0,28,100.00
10:28:08.250,REPORT,0x0126,,30,,,,6,0,0,28,93.33
10:29:01.473,EVENT,TEST_START,Duration_ms=60000,,,,,,,,,
10:29:03.119,DATA,0x0125,0x0125,1,-58,1,57,,,,,
10:29:03.273,DATA,0x0123,0x0123,1,-53,1,55,,,,,
10:29:03.453,DATA,0x0124,0x0124,1,-54,1,57,,,,,
10:29:03.635,DATA,0x0126,0x0126,1,-62,1,49,,,,,
10:29:03.838,DATA,0x0122,0x0125,1,-57,2,208,,,,,
10:29:05.226,DATA,0x0125,0x0125,2,-62,1,57,,,,,
10:29:05.406,DATA,0x0123,0x0123,2,-62,1,51,,,,,
10:29:05.542,DATA,0x0124,0x0124,2,-55,1,57,,,,,
10:29:05.778,DATA,0x0126,0x0126,2,-66,1,51,,,,,
10:29:05.961,DATA,0x0122,0x0124,2,-56,2,181,,,,,
10:29:07.424,DATA,0x0125,0x0125,3,-55,1,58,,,,,
10:29:07.583,DATA,0x0124,0x0124,3,-66,1,53,,,,,
10:29:07.751,DATA,0x0123,0x0123,3,-64,1,219,,,,,
10:29:07.939,DATA,0x0126,0x0126,3,-63,1,77,,,,,
10:29:08.097,DATA,0x0122,0x0124,3,-56,2,210,,,,,
10:29:09.572,DATA,0x0125,0x0125,4,-58,1,68,,,,,
10:29:09.676,DATA,0x0124,0x0124,4,-54,1,156,,,,,
10:29:09.948,DATA,0x0123,0x0123,4,-53,1,378,,,,,
10:29:10.093,DATA,0x0126,0x0126,4,-64,1,167,,,,,
10:29:10.235,DATA,0x0122,0x0124,4,-57,2,210,,,,,
10:29:11.681,DATA,0x0123,0x0123,5,-53,1,79,,,,,
10:29:11.774,DATA,0x0124,0x0124,5,-57,1,55,,,,,
10:29:11.992,DATA,0x0125,0x0125,5,-63,1,318,,,,,
10:29:12.044,DATA,0x0126,0x0126,5,-58,1,52,,,,,
10:29:12.373,DATA,0x0122,0x0124,5,-54,2,187,,,,,
10:29:13.657,DATA,0x0123,0x0123,6,-53,1,55,,,,,
10:29:13.891,DATA,0x0124,0x0124,6,-62,1,58,,,,,
10:29:14.082,DATA,0x0125,0x0125,6,-63,1,233,,,,,
10:29:14.191,DATA,0x0126,0x0126,6,-62,1,54,,,,,
10:29:15.794,DATA,0x0123,0x0123,7,-53,1,58,,,,,
10:29:16.057,DATA,0x0124,0x0124,7,-54,1,55,,,,,
10:29:16.162,DATA,0x0125,0x0125,7,-57,1,158,,,,,
10:29:16.274,DATA,0x0126,0x0126,7,-59,1,61,,,,,
10:29:16.575,DATA,0x0122,0x0124,7,-62,2,189,,,,,
10:29:17.887,DATA,0x0123,0x0123,8,-53,1,52,,,,,
10:29:18.194,DATA,0x0125,0x0125,8,-63,1,52,,,,,
10:29:18.374,DATA,0x0124,0x0124,8,-62,1,193,,,,,
10:29:18.529,DATA,0x0126,0x0126,8,-59,1,163,,,,,
10:29:18.726,DATA,0x0122,0x0124,8,-62,2,179,,,,,
10:29:19.997,DATA,0x0123,0x0123,9,-62,1,59,,,,,
10:29:20.202,DATA,0x0125,0x0125,9,-58,1,55,,,,,
10:29:20.320,DATA,0x0124,0x0124,9,-57,1,85,,,,,
10:29:20.583,DATA,0x0126,0x0126,9,-59,1,53,,,,,
10:29:22.021,DATA,0x0123,0x0123,10,-53,1,54,,,,,
10:29:22.379,DATA,0x0125,0x0125,10,-57,1,57,,,,,
10:29:22.513,DATA,0x0124,0x0124,10,-62,1,161,,,,,
10:29:22.768,DATA,0x0126,0x0126,10,-62,1,62,,,,,
10:29:23.057,DATA,0x0122,0x0126,10,-59,2,181,,,,,
10:29:24.220,DATA,0x0123,0x0123,11,-62,1,59,,,,,
10:29:24.436,DATA,0x0125,0x0125,11,-57,1,57,,,,,
10:29:24.560,DATA,0x0124,0x0124,11,-56,1,159,,,,,
10:29:24.753,DATA,0x0126,0x0126,11,-66,1,56,,,,,
10:29:25.020,DATA,0x0122,0x0126,11,-66,2,187,,,,,
10:29:26.268,DATA,0x0123,0x0123,12,-53,1,53,,,,,
10:29:26.552,DATA,0x0125,0x0125,12,-63,1,56,,,,,
10:29:26.673,DATA,0x0124,0x0124,12,-54,1,160,,,,,
10:29:26.829,DATA,0x0126,0x0126,12,-66,1,59,,,,,
10:29:27.245,DATA,0x0122,0x0124,12,-54,2,193,,,,,
10:29:28.281,DATA,0x0123,0x0123,13,-53,1,63,,,,,
10:29:28.735,DATA,0x0125,0x0125,13,-65,1,73,,,,,
10:29:28.905,DATA,0x0126,0x0126,13,-66,1,54,,,,,
10:29:28.976,DATA,0x0124,0x0124,13,-57,1,315,,,,,
10:29:29.373,DATA,0x0122,0x0124,13,-54,2,206,,,,,
10:29:30.437,DATA,0x0123,0x0123,14,-53,1,53,,,,,
10:29:30.729,DATA,0x0124,0x0124,14,-54,1,56,,,,,
10:29:30.828,DATA,0x0125,0x0125,14,-57,1,158,,,,,
10:29:31.047,DATA,0x0126,0x0126,14,-64,1,57,,,,,
10:29:31.426,DATA,0x0122,0x0124,14,-54,2,183,,,,,
10:29:32.423,DATA,0x0123,0x0123,15,-53,1,60,,,,,
10:29:32.894,DATA,0x0125,0x0125,15,-57,1,83,,,,,
10:29:33.009,DATA,0x0124,0x0124,15,-57,1,185,,,,,
10:29:33.150,DATA,0x0126,0x0126,15,-60,1,55,,,,,
10:29:33.598,DATA,0x0122,0x0124,15,-53,2,187,,,,,
10:29:34.599,DATA,0x0123,0x0123,16,-54,1,58,,,,,
10:29:34.939,DATA,0x0124,0x0124,16,-62,1,56,,,,,
10:29:35.100,DATA,0x0125,0x0125,16,-56,1,160,,,,,
10:29:35.235,DATA,0x0126,0x0126,16,-61,1,56,,,,,
10:29:35.681,DATA,0x0122,0x0124,16,-54,2,202,,,,,
10:29:36.801,DATA,0x0123,0x0123,17,-54,1,65,,,,,
10:29:37.064,DATA,0x0124,0x0124,17,-55,1,57,,,,,
10:29:37.123,DATA,0x0125,0x0125,17,-57,1,54,,,,,
10:29:37.275,DATA,0x0126,0x0126,17,-67,1,53,,,,,
10:29:37.715,DATA,0x0122,0x0124,17,-56,2,201,,,,,
10:29:38.964,DATA,0x0123,0x0123,18,-62,1,56,,,,,
10:29:39.119,DATA,0x0124,0x0124,18,-56,1,55,,,,,
10:29:39.248,DATA,0x0125,0x0125,18,-64,1,109,,,,,
10:29:39.358,DATA,0x0126,0x0126,18,-60,1,57,,,,,
10:29:39.820,DATA,0x0122,0x0124,18,-54,2,191,,,,,
10:29:41.034,DATA,0x0123,0x0123,19,-62,1,52,,,,,
10:29:41.137,DATA,0x0124,0x0124,19,-63,1,52,,,,,
10:29:41.310,DATA,0x0125,0x0125,19,-64,1,60,,,,,
10:29:41.407,DATA,0x0126,0x0126,19,-66,1,57,,,,,
10:29:41.970,DATA,0x0122,0x0124,19,-54,2,178,,,,,
10:29:43.091,DATA,0x0123,0x0123,20,-53,1,58,,,,,
10:29:43.383,DATA,0x0124,0x0124,20,-56,1,79,,,,,
10:29:43.411,DATA,0x0125,0x0125,20,-65,1,54,,,,,
10:29:43.555,DATA,0x0126,0x0126,20,-58,1,184,,,,,
10:29:44.020,DATA,0x0122,0x0124,20,-62,2,192,,,,,
10:29:45.217,DATA,0x0123,0x0123,21,-52,1,50,,,,,
