Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,RTT_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
12:19:25.950,EVENT,TEST_START,Duration_ms=3600000,,,,,,,,,,,
12:19:38.308,EVENT,TEST_STOP,Finished,,,,,,,,,,,
12:19:40.271,REPORT,0x0006,,0,,,,0,0,0,0,0,0,0.00
12:19:40.540,REPORT,0x0007,,0,,,,0,2,4,0,0,0,0.00
12:19:40.929,REPORT,0x0015,,0,,,,0,2,4,0,0,0,0.00
12:19:41.159,REPORT,0x000b,,0,,,,0,0,0,0,0,0,0.00
12:19:41.171,REPORT,0x0005,,0,,,,0,2,4,0,0,0,0.00
12:19:41.429,REPORT,0x000a,,0,,,,1,1,2,0,0,0,0.00
12:19:41.605,REPORT,0x0011,,0,,,,0,0,0,0,0,0,0.00
12:19:41.743,REPORT,0x000e,,0,,,,0,0,0,0,0,0,0.00
12:19:41.784,REPORT,0x0004,,0,,,,0,0,0,0,0,0,0.00
12:19:42.221,REPORT,0x0003,,0,,,,1,0,0,0,0,0,0.00
12:19:42.449,REPORT,0x0016,,0,,,,1,0,0,0,0,0,0.00
12:19:42.556,REPORT,0x0010,,0,,,,0,0,0,0,0,0,0.00
12:19:42.633,REPORT,0x0018,,0,,,,0,0,0,0,0,0,0.00
12:19:43.427,REPORT,0x001a,,0,,,,0,0,0,0,0,0,0.00
12:19:43.620,REPORT,0x0008,,0,,,,1,1,2,0,0,0,0.00
