Timestamp,Origin,Grad,Parent,Neighbor,RSSI,Link_UP(s),Drop_Count,Fwd_Count,Drop_Rate(%),Pin(%),Routing_Cost
2026-04-07 16:14:02,"=""001B""",2,"=""0006""","=""000A""",-60,157,0,8,0.0,99.8,79.25
2026-04-07 16:14:02,"=""0026""",2,"=""0018""","=""000D""",-60,243,0,10,0.0,99.7,64.49
2026-04-07 16:14:02,"=""0020""",2,"=""0010""","=""0013""",-56,171,0,21,0.0,98.8,76.55
2026-04-07 16:14:02,"=""0003""",2,"=""0006""","=""0025""",-60,250,0,15,0.0,97.6,63.46
2026-04-07 16:14:02,"=""0016""",1,"=""0002""","=""0014""",-60,47,0,18,0.0,98.1,95.5
2026-04-07 16:14:02,"=""0025""",2,"=""0018""","=""0003""",-59,251,0,7,0.0,99.6,63.32
2026-04-07 16:14:02,"=""0021""",2,"=""0005""","=""0014""",-60,5,0,5,0.0,100.0,118.35
2026-04-07 16:14:02,"=""000C""",2,"=""0017""","=""0013""",-60,243,0,8,0.0,98.6,64.49
2026-04-07 16:14:02,"=""000A""",2,"=""0009""","=""0024""",-60,275,0,20,0.0,99.1,59.98
2026-04-07 16:14:02,"=""001A""",1,"=""0002""","=""001F""",-59,26,0,51,0.0,97.4,101.7
2026-04-07 16:14:02,"=""0015""",1,"=""0002""","=""0014""",-60,797,0,34,0.0,98.5,17.02
2026-04-07 16:14:02,"=""001C""",2,"=""0010""","=""0013""",-60,26,0,29,0.0,99.7,111.7
2026-04-07 16:14:02,"=""0008""",1,"=""0002""","=""0024""",-61,310,0,66,0.0,97.6,45.58
2026-04-07 16:14:02,"=""0017""",1,"=""0002""","=""001E""",-60,49,0,31,0.0,99.9,94.93
2026-04-07 16:14:02,"=""000E""",1,"=""0002""","=""0021""",-58,850,0,34,0.0,97.8,15.88
2026-04-07 16:14:02,"=""0018""",1,"=""0002""","=""0024""",-60,260,0,34,0.0,99.2,52.04
2026-04-07 16:14:02,"=""0007""",2,"=""0006""","=""0021""",-59,275,0,24,0.0,98.9,59.98
2026-04-07 16:14:02,"=""000F""",2,"=""0009""","=""000A""",-60,300,0,18,0.0,99.6,56.79
2026-04-07 16:14:02,"=""0024""",2,"=""0008""","=""0023""",-60,7,0,6,0.0,100.0,117.69
