Timestamp,Origin,Grad,Parent,Neighbor,RSSI,Link_UP(s),Drop_Count,Fwd_Count,Drop_Rate(%),Pin(%),Routing_Cost
2026-04-07 16:04:11,"=""000C""",1,"=""0002""","=""0013""",-59,135,0,114,0.0,99.6,73.76
2026-04-07 16:04:11,"=""0007""",2,"=""0006""","=""001B""",-59,69,0,20,0.0,99.8,99.45
2026-04-07 16:04:11,"=""0004""",2,"=""0010""","=""0023""",-60,38,0,18,0.0,100.0,108.1
2026-04-07 16:04:11,"=""0028""",2,"=""000C""","=""001F""",-56,39,0,20,0.0,99.8,107.81
2026-04-07 16:04:11,"=""0022""",2,"=""0010""","=""001F""",-51,74,0,27,0.0,99.9,98.14
2026-04-07 16:04:11,"=""001E""",2,"=""0009""","=""000D""",-60,220,0,34,0.0,99.7,68.03
2026-04-07 16:04:11,"=""0009""",1,"=""0002""","=""0004""",-60,583,0,107,0.0,98.7,24.32
2026-04-07 16:04:11,"=""0019""",2,"=""0009""","=""000F""",-59,141,0,20,0.0,99.8,82.5
2026-04-07 16:05:11,"=""000B""",2,"=""0010""","=""000C""",-58,211,0,6,0.0,99.6,69.49
2026-04-07 16:05:11,"=""0003""",1,"=""0002""","=""000D""",-60,252,0,7,0.0,98.5,53.17
2026-04-07 16:05:11,"=""0018""",2,"=""000E""","=""000F""",-60,59,0,4,0.0,99.7,102.15
2026-04-07 16:05:11,"=""000A""",2,"=""0005""","=""001E""",-59,243,0,22,0.0,99.7,64.49
2026-04-07 16:05:11,"=""001B""",2,"=""0009""","=""0021""",-58,71,0,4,0.0,99.9,98.93
2026-04-07 16:05:11,"=""001E""",2,"=""0009""","=""000D""",-58,280,0,23,0.0,99.6,59.32
2026-04-07 16:05:11,"=""0021""",2,"=""000E""","=""0023""",-56,0,0,2,0.0,100.0,120.0
2026-04-07 16:05:11,"=""0008""",1,"=""0002""","=""000D""",-60,0,0,25,0.0,99.0,110.0
2026-04-07 16:05:11,"=""0019""",2,"=""0006""","=""0009""",-60,181,0,4,0.0,99.8,74.7
2026-04-07 16:05:11,"=""0010""",1,"=""0002""","=""0011""",-73,344,0,111,0.0,98.3,49.27
2026-04-07 16:05:11,"=""001A""",1,"=""0002""","=""000B""",-57,593,0,33,0.0,99.1,23.85
2026-04-07 16:05:11,"=""000D""",2,"=""0006""","=""0004""",-59,293,0,24,0.0,99.6,57.66
2026-04-07 16:05:11,"=""0028""",2,"=""001A""","=""001F""",-56,99,0,21,0.0,99.7,91.89
2026-04-07 16:05:11,"=""0009""",1,"=""0002""","=""0019""",-59,0,0,4,0.0,100.0,110.0
2026-04-07 16:05:11,"=""000F""",2,"=""0006""","=""0019""",-60,75,0,26,0.0,99.9,97.88
2026-04-07 16:05:11,"=""0015""",1,"=""0002""","=""0009""",-60,2,0,43,0.0,99.5,109.34
2026-04-07 16:05:11,"=""0004""",2,"=""0010""","=""0013""",-80,19,0,25,0.0,99.9,138.86
2026-04-07 16:05:11,"=""000C""",2,"=""001A""","=""0013""",-60,195,0,121,0.0,99.3,72.2
2026-04-07 16:05:11,"=""0016""",1,"=""0002""","=""0028""",-60,273,0,36,0.0,98.8,50.25
2026-04-07 16:05:11,"=""000E""",1,"=""0002""","=""001E""",-60,349,0,51,0.0,99.2,41.24
2026-04-07 16:05:11,"=""0020""",2,"=""0010""","=""001F""",-58,135,0,25,0.0,99.5,83.76
2026-04-07 16:05:11,"=""0007""",2,"=""0005""","=""0014""",-60,215,0,18,0.0,99.7,68.84
2026-04-07 16:05:11,"=""0005""",1,"=""0002""","=""000A""",-60,295,0,41,0.0,99.1,47.41
2026-04-07 16:05:11,"=""0023""",2,"=""0006""","=""0004""",-60,79,0,25,0.0,99.9,96.85
2026-04-07 16:05:11,"=""0013""",2,"=""0004""","=""001F""",-51,134,0,20,0.0,99.6,83.98
2026-04-07 16:05:11,"=""0006""",1,"=""0002""","=""001B""",-60,79,0,97,0.0,98.4,86.85
2026-04-07 16:05:11,"=""0011""",2,"=""0010""","=""0022""",-60,190,0,24,0.0,99.5,73.08
2026-04-07 16:06:11,"=""0008""",1,"=""0002""","=""000D""",-60,60,0,18,0.0,98.9,91.87
2026-04-07 16:06:11,"=""0022""",2,"=""0010""","=""0011""",-60,215,0,4,0.0,99.8,68.84
2026-04-07 16:06:11,"=""001B""",2,"=""0009""","=""0021""",-58,129,0,21,0.0,99.8,85.05
2026-04-07 16:06:11,"=""0003""",1,"=""0002""","=""000F""",-60,341,0,46,0.0,98.4,42.09
2026-04-07 16:06:11,"=""0019""",2,"=""0006""","=""0004""",-60,273,0,20,0.0,99.7,60.25
2026-04-07 16:06:11,"=""0028""",2,"=""001A""","=""0011""",-59,338,0,22,0.0,99.6,52.41
2026-04-07 16:06:11,"=""000A""",2,"=""0009""","=""0021""",-59,317,0,23,0.0,99.6,54.76
